,open time,open,high,low,close
265,2018-08-08,0.00000235,0.00000243,0.00000223,0.00000227
266,2018-08-09,0.00000226,0.00000240,0.00000224,0.00000233
267,2018-08-10,0.00000233,0.00000235,0.00000212,0.00000216
268,2018-08-11,0.00000215,0.00000222,0.00000182,0.00000189
269,2018-08-12,0.00000189,0.00000207,0.00000183,0.00000197
270,2018-08-13,0.00000197,0.00000202,0.00000171,0.00000178
271,2018-08-14,0.00000178,0.00000178,0.00000140,0.00000153
272,2018-08-15,0.00000152,0.00000175,0.00000150,0.00000161
273,2018-08-16,0.00000161,0.00000182,0.00000158,0.00000172
274,2018-08-17,0.00000172,0.00000194,0.00000171,0.00000192
275,2018-08-18,0.00000192,0.00000197,0.00000165,0.00000172
276,2018-08-19,0.00000172,0.00000180,0.00000169,0.00000176
277,2018-08-20,0.00000176,0.00000186,0.00000163,0.00000164
278,2018-08-21,0.00000165,0.00000168,0.00000157,0.00000163
279,2018-08-22,0.00000163,0.00000167,0.00000150,0.00000154
280,2018-08-23,0.00000153,0.00000165,0.00000150,0.00000159
281,2018-08-24,0.00000158,0.00000167,0.00000157,0.00000164
282,2018-08-25,0.00000164,0.00000177,0.00000159,0.00000172
283,2018-08-26,0.00000172,0.00000172,0.00000156,0.00000163
284,2018-08-27,0.00000163,0.00000172,0.00000162,0.00000171
285,2018-08-28,0.00000171,0.00000180,0.00000167,0.00000177
286,2018-08-29,0.00000178,0.00000183,0.00000167,0.00000170
287,2018-08-30,0.00000170,0.00000177,0.00000158,0.00000167
288,2018-08-31,0.00000168,0.00000180,0.00000165,0.00000173
289,2018-09-01,0.00000174,0.00000190,0.00000173,0.00000185
290,2018-09-02,0.00000186,0.00000187,0.00000174,0.00000181
291,2018-09-03,0.00000181,0.00000182,0.00000169,0.00000176
292,2018-09-04,0.00000175,0.00000245,0.00000174,0.00000208
293,2018-09-05,0.00000208,0.00000225,0.00000170,0.00000172
294,2018-09-06,0.00000171,0.00000188,0.00000162,0.00000177
295,2018-09-07,0.00000177,0.00000203,0.00000175,0.00000188
296,2018-09-08,0.00000187,0.00000216,0.00000186,0.00000211
297,2018-09-09,0.00000211,0.00000214,0.00000187,0.00000192
298,2018-09-10,0.00000192,0.00000194,0.00000172,0.00000183
299,2018-09-11,0.00000184,0.00000186,0.00000161,0.00000166
300,2018-09-12,0.00000165,0.00000174,0.00000155,0.00000166
301,2018-09-13,0.00000165,0.00000180,0.00000157,0.00000172
302,2018-09-14,0.00000172,0.00000184,0.00000168,0.00000179
303,2018-09-15,0.00000179,0.00000182,0.00000169,0.00000180
304,2018-09-16,0.00000181,0.00000242,0.00000180,0.00000226
305,2018-09-17,0.00000227,0.00000243,0.00000199,0.00000202
306,2018-09-18,0.00000202,0.00000284,0.00000193,0.00000239
307,2018-09-19,0.00000239,0.00000243,0.00000201,0.00000217
308,2018-09-20,0.00000217,0.00000235,0.00000208,0.00000223
309,2018-09-21,0.00000223,0.00000331,0.00000205,0.00000265
310,2018-09-22,0.00000265,0.00000324,0.00000251,0.00000257
311,2018-09-23,0.00000257,0.00000265,0.00000244,0.00000251
312,2018-09-24,0.00000250,0.00000251,0.00000229,0.00000231
313,2018-09-25,0.00000231,0.00000248,0.00000216,0.00000246
314,2018-09-26,0.00000247,0.00000253,0.00000231,0.00000235
315,2018-09-27,0.00000236,0.00000241,0.00000227,0.00000230
316,2018-09-28,0.00000230,0.00000232,0.00000211,0.00000227
317,2018-09-29,0.00000226,0.00000276,0.00000223,0.00000229
318,2018-09-30,0.00000229,0.00000237,0.00000224,0.00000231
319,2018-10-01,0.00000230,0.00000255,0.00000228,0.00000236
320,2018-10-02,0.00000237,0.00000249,0.00000234,0.00000236
321,2018-10-03,0.00000236,0.00000259,0.00000230,0.00000243
322,2018-10-04,0.00000243,0.00000263,0.00000241,0.00000251
323,2018-10-05,0.00000251,0.00000265,0.00000237,0.00000261
324,2018-10-06,0.00000261,0.00000275,0.00000248,0.00000268
325,2018-10-07,0.00000268,0.00000269,0.00000249,0.00000253
326,2018-10-08,0.00000253,0.00000258,0.00000245,0.00000252
327,2018-10-09,0.00000252,0.00000262,0.00000248,0.00000250
328,2018-10-10,0.00000250,0.00000263,0.00000240,0.00000262
329,2018-10-11,0.00000262,0.00000262,0.00000212,0.00000219
330,2018-10-12,0.00000219,0.00000231,0.00000216,0.00000229
331,2018-10-13,0.00000228,0.00000247,0.00000226,0.00000240
332,2018-10-14,0.00000240,0.00000260,0.00000239,0.00000241
333,2018-10-15,0.00000241,0.00000250,0.00000226,0.00000238
334,2018-10-16,0.00000238,0.00000246,0.00000234,0.00000239
335,2018-10-17,0.00000239,0.00000286,0.00000238,0.00000276
336,2018-10-18,0.00000276,0.00000278,0.00000240,0.00000251
337,2018-10-19,0.00000251,0.00000257,0.00000245,0.00000247
338,2018-10-20,0.00000248,0.00000257,0.00000242,0.00000252
339,2018-10-21,0.00000253,0.00000281,0.00000251,0.00000268
340,2018-10-22,0.00000268,0.00000354,0.00000263,0.00000291
341,2018-10-23,0.00000290,0.00000333,0.00000280,0.00000284
342,2018-10-24,0.00000283,0.00000296,0.00000282,0.00000287
343,2018-10-25,0.00000287,0.00000289,0.00000279,0.00000283
344,2018-10-26,0.00000284,0.00000284,0.00000267,0.00000270
345,2018-10-27,0.00000270,0.00000530,0.00000267,0.00000366
346,2018-10-28,0.00000366,0.00000458,0.00000332,0.00000337
347,2018-10-29,0.00000336,0.00000354,0.00000300,0.00000307
348,2018-10-30,0.00000306,0.00000321,0.00000291,0.00000309
349,2018-10-31,0.00000310,0.00000358,0.00000303,0.00000343
350,2018-11-01,0.00000342,0.00000360,0.00000328,0.00000333
351,2018-11-02,0.00000334,0.00000366,0.00000329,0.00000352
352,2018-11-03,0.00000352,0.00000354,0.00000331,0.00000333
353,2018-11-04,0.00000333,0.00000333,0.00000302,0.00000308
354,2018-11-05,0.00000308,0.00000325,0.00000301,0.00000308
355,2018-11-06,0.00000308,0.00000311,0.00000280,0.00000304
356,2018-11-07,0.00000304,0.00000334,0.00000296,0.00000321
357,2018-11-08,0.00000322,0.00000328,0.00000304,0.00000307
358,2018-11-09,0.00000306,0.00000311,0.00000295,0.00000299
359,2018-11-10,0.00000300,0.00000320,0.00000294,0.00000310
360,2018-11-11,0.00000309,0.00000320,0.00000303,0.00000307
361,2018-11-12,0.00000305,0.00000309,0.00000299,0.00000304
362,2018-11-13,0.00000304,0.00000306,0.00000283,0.00000285
363,2018-11-14,0.00000285,0.00000290,0.00000233,0.00000264
364,2018-11-15,0.00000263,0.00000265,0.00000230,0.00000248
365,2018-11-16,0.00000249,0.00000260,0.00000240,0.00000246
366,2018-11-17,0.00000246,0.00000255,0.00000237,0.00000249
367,2018-11-18,0.00000249,0.00000289,0.00000248,0.00000263
368,2018-11-19,0.00000263,0.00000265,0.00000224,0.00000233
369,2018-11-20,0.00000233,0.00000236,0.00000173,0.00000220
370,2018-11-21,0.00000220,0.00000237,0.00000217,0.00000227
371,2018-11-22,0.00000228,0.00000235,0.00000218,0.00000219
372,2018-11-23,0.00000218,0.00000227,0.00000210,0.00000223
373,2018-11-24,0.00000223,0.00000235,0.00000222,0.00000226
374,2018-11-25,0.00000226,0.00000226,0.00000211,0.00000220
375,2018-11-26,0.00000219,0.00000249,0.00000219,0.00000233
376,2018-11-27,0.00000233,0.00000245,0.00000232,0.00000238
377,2018-11-28,0.00000239,0.00000294,0.00000239,0.00000273
378,2018-11-29,0.00000273,0.00000302,0.00000259,0.00000264
379,2018-11-30,0.00000264,0.00000268,0.00000250,0.00000262
380,2018-12-01,0.00000263,0.00000278,0.00000262,0.00000274
381,2018-12-02,0.00000274,0.00000327,0.00000270,0.00000318
382,2018-12-03,0.00000318,0.00000318,0.00000247,0.00000257
383,2018-12-04,0.00000257,0.00000264,0.00000245,0.00000248
384,2018-12-05,0.00000247,0.00000248,0.00000230,0.00000230
385,2018-12-06,0.00000231,0.00000234,0.00000214,0.00000217
